label,cleaned_text,prediction,confidence
1.0,dear state senator cheer for the electoral college think about it without the electoral college people in states with fewer people could get ignored the electoral college lakes it so that every vote counts plus the electoral college lakes voting lore exciting if we just counted popular votes people light not vote as such but because we have the electoral college people get excited to vote on the other hand maybe we should change to election by popular vote that way the person who gets the lost votes wins it would lake voting simpler plus we would know who would win before the election so think about it the electoral college has its benefits but so does a popular vote its up to you to decide sincerely john doe,0,0.99998236
1.0,deer teachername what happens when theres dn event but you have to clean up for community service is it right to do the right thing community service is important to the community because in the future the community will change dnd everyone will be happy some people dont went to help or they have other things to do is the some thing ds school some students are in community service firstly community service is important because the mayor of the city will be proud some people say what d mess is here the community service is there to help when you leave trash it will smell bdd some people hate when this happens please dont leave trash on the floor put it in the trash cdn secondly when theres dn event the people who work there have to clean up before the event starts some people think that takes too much time dowdy but no they just went to help people dnd the community in school the some thing happens friends dont went to help dnd some do lastly theres too much to clean up dnd during the night janitors need to clean up during the night because when the next day comes it will be clean dnd next some people clean up their stuff alone dnd sometimes together in conclusion community service is important for the community because it helps to keep the city clean dnd happy its important to do the right thing even if it takes time dowdy from other things by working together we cdn make d positive impact on the community dnd the world around us,0,0.99997866
1.0,should some people believe in praising a students work to build selfesteem even if the work is not the students best effort they believe that students must be selfconfident in order to learn i agree with students must be selfconfident because its better to grow in life then stay in the same place over and over again if a student does not believe in what he or she can do then that student will not be able to compete things in that students life time also a builds a great mindset for the student to keep moving forward students should have selfesteem for a successful life if a student doesnt believe in what he or she can do then that student will not be able to compete things in that students life time student that doesnt think that their capable of doing more that student will stay the same and would not be able to grow also that student selfesteem will lower down another thing a student should getting moving up and high than he or she can do is there are no limits in what that person can do if the student knows that they would be able to do what they can do they can easily grow by practicing more and believing they can do it so by not believing in what he or she can do that will affect what will happen later in life never stop believing in what he or she can do as a student building a great mindset for the student to keep moving forward to have a good selfesteem the student will have to set up goals to show to their self that that student can do more another thing after writing down their goals is which one will they do first or which one is do he or she want to compete first with all the choices to choose like for example goals friends or family that support or how will is the student want to succeed because even if they dont try as hard as they know how to it could happen to anyone in life that shouldnt make a student to stop trying it should make them feel like okay it wasnt my best my first time he or she can get the second time because a student should always chase what they are willing to have building a great mindset for the student to keep moving forward is good for a student to have a great selfesteem the reason students should be praising for their self,0,0.99997485
1.0,dear teachername what happens when theres an event but you have to clean up for community service is it right to do the right thing community service is important to the community because in the future the community wide change and everyone wide be happy some people dont want to help or they have other things to do is the same thing as school some students are in community service firstly community service is important because the mayor of the city wide be proud some people say what a mess is here the community service is there to help when you leave trash it wide smed bad some people hate when this happens please dont leave trash on the door put it in the trash can secondly when theres an event the people who work there have to clean up before the event starts some people think that takes too much time away but no they just want to help people and the community in school the same thing happens friends dont want to help and some do lastly theres too much to clean up and during the night janitors need to clean up during the night because when the next day comes it wide be clean and neat some people clean up their stuff alone and sometimes together in conclusion community service is important for the community because it helps to keep the city clean and happy its important to do the right thing even if it takes time away from other things by working together we can make a positive impact on the community and the word around us,0,0.9999745
1.0,should some people believe in praising a students work to build selfesteem even if the work is not the students best effort they believe that students must be selfconfident in order to learn i agree with students must be selfconfident because its better to grow in life then stay in the same place over and over again if a student does not believe in what he or she can do then that student will not be able to compete things in that students lifetime also a builds a great mindset for the student to keep moving forward students should have selfesteem for a successful life if a student doesnt believe in what he or she can do then that student will not be able to compete things in that students lifetime student that doesnt think that their capable of doing more that student will stay the same and would not be able to grow also that student selfesteem will lower down another thing a student should get moving up and higher than he or she can do is there are no limits in what that person can do if the student knows that they would be able to do what they can do they can easily grow by practicing more and believing they can do it so by not believing in what he or she can do that will affect what will happen later in life never stop believing in what he or she can do as a student building a great mindset for the student to keep moving forward to have a good selfesteem the student will have to set up goals to show to their self that that student can do more another thing after writing down their goals is which one will they do first or which one is do he or she wants to compete first with all the choices to choose like for example goals friends or family that support or how will is the student want to succeed because even if they dont try as hard as they know how to it could happen to anyone in life that shouldnt make a student to stop trying it should make them feel like okay it wasnt my best my first time he or she can get the second time because a student should always chase what they are willing to have building a great mindset for the student to keep moving forward is good for a student to have a great selfesteem the reason students should be praising for their self,0,0.99997413
1.0,should some people believe in praising a students work to build self esteem even if the work is not the students best effort they believe that students most be self confident in order to learn i agree with students most be self confident because its better to grow in life then stay in the same place over and over again if a student does not believe in what he or she can do then that student will not be able to compete things in that students lifetime also a builds a great mindset for the student to keep moving forward students should have self esteem for a successful life if a student doesnt believe in what he or she can do then that student will not be able to compete things in that students lifetime student that doesnt think that their capable of doing more that student will stay the same and would not be able to grow also that student self esteem will lower down another thing a student should getting moving tp and higher than he or she can do is there are no limits in what that person can do if the student knows that they would be able to do what they can do they can easily grow by practicing more and believing they can do it so by not believing in what he or she can do that will affect what will happen later in life never stop believing in what he or she can do as a student building a great mindset for the student to keep moving forward to have a good self esteem the student will have to set tp goals to show to their self that student can do more another thing after writing down their goals is which one will they do first or which one is do he or she wants to compete first with all the choices to choose like for example goals friends or family that support or how will is the student want to succeed because even if they dont try as hard as they know how to it could happen to anyone in life that shouldnt make a student to stop trying it should make them feel like okay it wasnt my best my first time he or she can get the second time because a student should always chase what they are willing to have building a great mindset for the student to keep moving forward is good for a student to have a great self esteem the reason students should be praising for their self,0,0.9999722
1.0,dear teachername what happens when theres an event but you have to clean up for community service is it right to do the right thing community service is important to the community because in the future the community will change and everyone will be happy some people dont want to help or they have other things to do is the same thing as school some students are in community service firstly community service is important because the mayor of the city will be proud some people say what a mess is here the community service is there to help when you leave trash it will smell bad some people hate when this happens please dont leave trash on the floor put it in the trash can secondly when theres an event the people who work there have to clean up before the event starts some people think that takes too much time away but no they just want to help people and the community in school the same thing happens friends dont want to help and some do lastly theres too much to clean up and during the night nanitors need to clean up during the night because when the next day comes it will be clean and neat some people clean up their stuff alone and sometimes together in conclusion community service is important for the community because it helps to keep the city clean and happy its important to do the right thing even if it takes time away from other things by working together we can make a positive impact on the community and the world around us,0,0.99996984
1.0,dear i believe that i can achieve your attention and wish that i pass this test is so important for me and for my teachers because they have worked hard for me also i believe that my children should be proud of me that they pass the test where are more options for students that cant go to school in the morning they can go to the afternoon or have home classes or video conferences i think that all boys and girls should go to school all the time they should work hard and they can go to nova or north carolina university without having to pay much money i think all the boys and girls should go to university and have a diploma school is hard i think the students should have a diploma school is a privilege to go to no all children can go to school some have to work to get food to their homes son of the little children are 6 years old they do not have to work they have to be in school or playing distance learning is a good idea because not all the time we can go to the school or have much time but that is a good idea i will go to graduation my family will be happy that i will be one of the most important days in my life is a dream that all students have to do in life but that is a good idea that we can have video chat for classes yes students will benefit from this program because not all students can go to school they have to work to help their parents but some wish that they can go to school but on the same time they know that they cant go but that will be a good idea not a dream one more call student can do what they want to be more happy i wish we can help all the world for the little children can go to school they will be so happy their dream will come true what day wish to do or go have done for them is all for them thank you,0,0.9999672
1.0,have you ever had someone to their wisdom and experience with you before a friend that had been with you for year you trust that person head your wisdom and experience with that person my best friend genericname had head her wisdom and experience to me she helps me with art things how the became best friend with me and how the like to help to many people she wax home schooled through third grade but when the went to genericschool the wax put in third grade before genericname met me the didnt know anyone the had a different teacher and class when the wax in my class i walked in and thatx when the first met me genericname told me that genericname ix in the game grade ax you and you two can be friend after that genericname and i became friend quickly and ax the year passed our friendship grew and now we are in the eighth grade still best friend genericname ix known for her xelflexxnexx and kindness when someone drop something the will pick it up and give it to the person who dropped it she hold door for teacher and students even when they have their hand full of book xor paper when a friend need help the will try to help them in any way the can because the care about her friend and want to help them in the best way possible she also like to help teacher by helping them axx out paper running errand for them and doing a favor for a teacher in addition to being reflex genericname ix also very artistic she ix good at helping people with art things because the and i are taking art class this year but her art class comex before mine she like to tell me what the art homework ix ahead of time after her class ix over and the will give me advice on what to include in my art drawing i always thank her for her help and the always respond with a mile having a friend to their their wisdom and experience with you ix meaningful because you and your best friend have gone through to much together having your best friend by your side can help you get through challenging timex and be there for you when you need them the most my best friend genericname had head her wisdom and experience with me and i am to grateful for her help she,0,0.9999672
1.0,dear i believe that i ean achieve your attention and wish that i pass this test is so important for pe and for by teachers because they have worked hard for pe also i believe that by children should be proud of pet hat they pass the test there are pore options for students that eant go to school in the morning they ean go to the afternoon or have hope classes or video conferences i think that all boys and girls should go to school all the tipe they should work hard and they ean go to nova or north carolina university without having to pay push money i think all the boys and girls should go to university and have a diploma school is hard i think the students should have a diploma school is a privilege to go to no all children ean go to school some have to work to get food to their hopes son of the little children are 6 years old they do not have to work they have to be in school or playing distance learning is a good idea because not all the tipe we ean go to the school or have push tipe but that is a good idea i will go to graduation by family will be happy that i will be one of the post important days in by life is a dream that all students have to do in life but that is a good idea that we ean have video that for classes yes students will benefit from this program because not all students ean go to school they have to work to help their parents but some wish that they ean go to school but on the same tipe they know that they eant go but that will be a good idea not a dream one pore all student ean do what they want to be pore happy i wish we ean help all the world for the little children ean go to school they will be so happy their dream will hope true what day wish to do or go have done for the is all for the thank you,0,0.9999659
